MasterNLC,MasterASC,UniqueStationName,PrimaryNaptanStopArea
750,ABRd,Abbey Road,940GZZDLABR
5131,ABWr,Abbey Wood,910GABWD
1404,ACCr,Acton Central,910GACTNCTL
3000,AMLr,Acton Main Line,910GACTONML
500,ACTu,Acton Town,940GZZLUACT
9441,ADVt,Addington Village,940GZZCRADV
9440,ADSt,Addiscombe,940GZZCRADD
5132,AYPr,Albany Park,910GALBNYPK
502,ALDu,Aldgate,940GZZLUALD
503,ALEu,Aldgate East,940GZZLUADE
6025,AAPr,Alexandra Palace,910GALEXNDP
850,ALSd,All Saints,940GZZDLALL
505,ALPu,Alperton,940GZZLUALP
506,AMEu,Amersham,910GAMERSHM
9442,AMPt,Ampere Way,940GZZCRAMP
5397,ANYr,Anerley,910GANERLEY
507,ANGu,Angel,940GZZLUAGL
508,ARCu,Archway,940GZZLUACY
9443,ARNt,Arena,940GZZCRARA
509,AGRu,Arnos Grove,940GZZLUASG
510,ARLu,Arsenal,940GZZLUASL
9444,AVRt,Avenue Road,940GZZCRAVE
511,BSTu,Baker Street,940GZZLUBST
512,BALu,Balham LU,940GZZLUBLM
5399,BALr,Balham NR,910GBALHAM
513,BNKu,Bank and Monument,940GZZLUBNK
5348,BADr,Banstead,910GBANSTED
501,BARu,Barbican,940GZZLUBBN
514,BKGu,Barking,910GBARKING
515,BDEu,Barkingside,940GZZLUBKE
5089,BNHr,Barnehurst,910GBRNHRST
5551,BNSr,Barnes,910GBARNES
5580,BNIr,Barnes Bridge,910GBNSBDGE
516,BCTu,Barons Court,940GZZLUBSC
5420,BAKr,Battersea Park,910GBATRSPK
832,BPSu,Battersea Power Station,940GZZBPSUST
6006,BAYr,Bayford,910GBAYFORD
517,BAYu,Bayswater,940GZZLUBWT
5076,BECr,Beckenham Hill,910GBCKNHMH
5046,BKJr,Beckenham Junction,910GBCKNHMJ
9445,BCJt,Beckenham Junction Trams,940GZZCRBEK
9446,BCRt,Beckenham Road,940GZZCRBRD
895,BECd,Beckton,940GZZDLBEC
891,BEPd,Beckton Park,940GZZDLBPK
518,BECu,Becontree,940GZZLUBEC
9449,BDLt,Beddington Lane,940GZZCRBED
9450,BGWt,Belgrave Walk,940GZZCRBGV
5062,BGMr,Bellingham,910GBELNGHM
5350,BLMr,Belmont,910GBELM
519,BPKu,Belsize Park,940GZZLUBZP
5092,BVDr,Belvedere,910GBELVEDR
787,BERu,Bermondsey,940GZZLUBMY
5581,BRSr,Berrylands,910GBRLANDS
6961,BETr,Bethnal Green LO,910GBTHNLGR
520,BNGu,Bethnal Green LU,940GZZLUBLG
5093,BXYr,Bexley,910GBEXLEY
5094,BXHr,Bexleyheath,910GBXLYHTH
5063,BKLr,Bickley,910GBICKLEY
5401,BIKr,Birkbeck,910GBIRKBCK
9454,BKBt,Birkbeck Trams,940GZZCRBIR
521,BLFu,Blackfriars LU,940GZZLUBKF
5112,BFRr,Blackfriars NR,910GBLFR
5095,BKHr,Blackheath,910GBLKHTH
9459,BHLt,Blackhorse Lane,940GZZCRBLA
522,BHRu,Blackhorse Road,910GBLCHSRD
882,BLAd,Blackwall,940GZZDLBLA
524,BDSu,Bond Street,940GZZLUBND
525,BORu,Borough,940GZZLUBOR
526,BOSu,Boston Manor,940GZZLUBOS
527,BGRu,Bounds Green,940GZZLUBDS
851,BOCd,Bow Church,940GZZDLBOW
528,BWRu,Bow Road,940GZZLUBWR
6027,BOPr,Bowes Park,910GBOWESPK
529,BTXu,Brent Cross,940GZZLUBTX
5552,BFDr,Brentford,910GBNTFORD
6872,BREr,Brentwood,910GBRTWOOD
6810,BMDr,Brimsdown,910GBRIMSDN
778,BRXu,Brixton LU,940GZZLUBXN
5081,BRXr,Brixton NR,910GBRIXTON
5404,BCYr,Brockley,910GBROCKLY
5096,BMNr,Bromley North,910GBROMLYN
5064,BMSr,Bromley South,910GBROMLYS
530,BBBu,Bromley-by-Bow,940GZZLUBBB
1437,BSYr,Brondesbury,910GBRBY
1438,BSPr,Brondesbury Park,910GBRBYPK
6074,BPKr,Brookmans Park,910GBRKMNPK
6812,BXBr,Broxbourne,910GBROXBRN
6958,BCVr,Bruce Grove,910GBRUCGRV
531,BHLu,Buckhurst Hill,940GZZLUBKH
3176,BNMr,Burnham,910GBNHAM
532,BURu,Burnt Oak,940GZZLUBTK
6913,BHKr,Bush Hill Park,910GBHILLPK
1395,BSHr,Bushey,910GBUSHEY
534,CRDu,Caledonian Road,940GZZLUCAR
1439,CIRr,Caledonian Road & Barnsbury,910GCLDNNRB
6962,CBHr,Cambridge Heath,910GCAMHTH
1440,CMDr,Camden Road,910GCMDNRD
535,CTNu,Camden Town,940GZZLUCTN
788,CWRu,Canada Water,910GCNDAW
842,CAWd,Canary Wharf DLR,940GZZDLCAN
852,CWFu,Canary Wharf LU,940GZZLUCYF
884,CNTu,Canning Town,940GZZLUCGT
536,CSTu,Cannon Street LU,940GZZLUCST
5142,CSTr,Cannon Street NR,910GCANONST
1441,CNNr,Canonbury,910GCNNB
537,CPKu,Canons Park,940GZZLUCPK
1442,CPKr,Carpenders Park,910GCRPNDPK
5405,CSHr,Carshalton,910GCRSHLTN
5406,CSBr,Carshalton Beeches,910GCRSHLTB
3098,CBPr,Castle Bar Park,910GCBARPAR
5351,CATr,Caterham,910GCATERHM
5077,CTFr,Catford,910GCATFORD
5047,CFBr,Catford Bridge,910GCATFBDG
9488,TWRt,Centrale,940GZZCRCTR
6874,CTHr,Chadwell Heath,910GCHDWLHT
7447,CFHr,Chafford Hundred,910GCHADHDD
539,CLFu,Chalfont & Latimer,910GCHLFNAL
540,CHFu,Chalk Farm,940GZZLUCFM
541,CYLu,Chancery Lane,940GZZLUCHL
718,CHXu,Charing Cross LU,940GZZLUCHX
5143,CHXr,Charing Cross NR,910GCHRX
5144,CTNr,Charlton,910GCRLN
5352,CHEr,Cheam,910GCHEAM
5098,CLDr,Chelsfield,910GCHLSFLD
543,CHMu,Chesham,940GZZLUCSM
6814,CHNr,Cheshunt,910GCHESHNT
